type,category,item_id,item_name_en,item_description_en,item_name_fr,item_description_fr
bows,Bows and Arrows,Weapon_Bow_001,Traveler's Bow,"A small bow used by travelers for protection. It doesn't do a lot of damage, but it can be used to attack foes from a distance.",Arc de voyageur,"Utilisé en combinaison avec des flèches, ce petit arc léger, bien pratique en voyage, permet d'atteindre les ennemis à distance."
bows,Bows and Arrows,Weapon_Bow_002,Soldier’s Bow,"A bow designed for armed conflict. Inflicts more damage than a civilian bow, but it will still burn if it touches fire.",Arc de soldat,"Cet arc en bois, dont la puissance d'attaque a été augmentée pour servir au combat, peut infliger de gros dégâts, mais attention à ne pas l'approcher du feu !"
bows,Bows and Arrows,Weapon_Bow_003,Spiked Boko Bow,"An upgraded Boko bow bound with animal bone to boost its durability and firepower. Its craftsmanship is sloppy, but it's light and easy to use.",Arc à pointes boko,"Des os d'animaux ont été fixés au bois de cette version renforcée d'un arc boko, le rendant plus solide et plus puissant, tout en conservant sa légèreté."
bows,Bows and Arrows,Weapon_Bow_004,Boko Bow,"A basic Bokoblin bow made of wood. It's made by taking any tree branch and just tying a string to either end, so don't expect much in the way of combat effectiveness.",Arc boko,"Cet arc dont se servent les Bokoblins est des plus sommaires : une simple corde attachée à une branche d'arbre, ce qui ne le rend pas particulièrement puissant."
bows,Bows and Arrows,Weapon_Bow_006,Lizal Bow,A wooden bow created by Lizalfos. It's reinforced by the bones of a large fish— a marked improvement over any standard wooden bow.,Arc lézal,"Cet arc en bois, fabriqué par un Lézalfos à partir d'arêtes de grands poissons, est plus puissant qu'un arc en bois standard."
bows,Bows and Arrows,Weapon_Bow_009,Lynel Bow,"A Lynel-made bow crafted from rough metal. True to the vicious nature of Lynel weaponry, it fires a spread of multiple arrows at once. Ideal for taking down quick-moving targets.",Arc de Lynel,"Cet arc en métal dont se servent les Lynels est rudimentaire, mais il permet de décocher plusieurs flèches à la fois, facilitant les combats avec les cibles les plus véloces."
bows,Bows and Arrows,Weapon_Bow_011,Strengthened Lizal Bow,"A Lizal bow with a grip reinforced by metal. The body is made from the branches of a flexible tree that grows near water, which offers some serious destructive power.",Arc lézal robuste,"Constitué d'une poignée en métal et d'une structure en bois d'arbres poussant près des zones d'eau, cet arc lézal renforcé est assez puissant pour ne pas être sous-estimé."
bows,Bows and Arrows,Weapon_Bow_013,Forest Dweller's Bow,"The Koroks made this bow for Hylians. It's crafted from flexible wood and uses sturdy vines for the bowstring. Its construction may be simple, but it fires multiple arrows at once.",Arc des sylvains,"Fabriqué par les Korogus pour les humains à partir de bois flexible et de corde solide, cet arc d'apparence modeste peut tirer plusieurs flèches à la fois."
bows,Bows and Arrows,Weapon_Bow_014,Zora Bow,"A bow favored by the Zora for fishing. It doesn't boast the highest firepower, but the special metal it's crafted from prioritizes durability.",Arc zora,Cet arc peu puissant dont les Zoras se servent principalement pour pêcher a été conçu en métal et est plus robuste qu'il n'y paraît.
bows,Bows and Arrows,Weapon_Bow_015,Gerudo Bow,"This Gerudo-made bow is popular for the fine ornamentations along its limbs. Designed for hunting and warfare alike, this bow was engineered to strike distant targets.",Arc gerudo,Les Gerudos se servent de cet arc habilement décoré pour atteindre leurs cibles de loin quand elles chassent ou combattent dans le vaste désert.
